time,host,ip,period,icmp,ttl,rtt,trans_pack,recv_pack,pack_loss,min/avg/max/mdev
15-02-2023-09-49-21,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=27.6,1,1,0%,27.587/27.587/27.587/0.000
15-02-2023-09-49-22,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=26.9,1,1,0%,26.941/26.941/26.941/0.000
15-02-2023-09-49-23,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=25.7,1,1,0%,25.733/25.733/25.733/0.000
15-02-2023-09-49-24,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=34.4,1,1,0%,34.381/34.381/34.381/0.000
15-02-2023-09-49-25,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=33.6,1,1,0%,33.592/33.592/33.592/0.000
15-02-2023-09-49-26,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=30.1,1,1,0%,30.146/30.146/30.146/0.000
15-02-2023-09-49-27,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=34.6,1,1,0%,34.609/34.609/34.609/0.000
15-02-2023-09-49-28,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=32.7,1,1,0%,32.650/32.650/32.650/0.000
15-02-2023-09-49-29,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=37.5,1,1,0%,37.514/37.514/37.514/0.000
15-02-2023-09-49-30,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=37.3,1,1,0%,37.320/37.320/37.320/0.000
15-02-2023-09-49-31,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=39.1,1,1,0%,39.101/39.101/39.101/0.000
15-02-2023-09-49-32,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=26.6,1,1,0%,26.646/26.646/26.646/0.000
15-02-2023-09-49-33,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=34.1,1,1,0%,34.051/34.051/34.051/0.000
15-02-2023-09-49-34,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=26.5,1,1,0%,26.489/26.489/26.489/0.000
15-02-2023-09-49-36,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=143,1,1,0%,143.284/143.284/143.284/0.000
15-02-2023-09-49-37,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=186,1,1,0%,186.141/186.141/186.141/0.000
15-02-2023-09-49-38,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=50.2,1,1,0%,50.181/50.181/50.181/0.000
15-02-2023-09-49-39,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=38.3,1,1,0%,38.316/38.316/38.316/0.000
15-02-2023-09-49-40,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=26.8,1,1,0%,26.843/26.843/26.843/0.000
15-02-2023-09-49-41,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=39.2,1,1,0%,39.233/39.233/39.233/0.000
15-02-2023-09-49-42,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=39.9,1,1,0%,39.876/39.876/39.876/0.000
15-02-2023-09-49-43,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=33.8,1,1,0%,33.849/33.849/33.849/0.000
15-02-2023-09-49-44,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=38.1,1,1,0%,38.122/38.122/38.122/0.000
15-02-2023-09-49-45,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=40.4,1,1,0%,40.354/40.354/40.354/0.000
15-02-2023-09-49-46,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=32.6,1,1,0%,32.590/32.590/32.590/0.000
15-02-2023-09-49-47,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=20.6,1,1,0%,20.553/20.553/20.553/0.000
15-02-2023-09-49-48,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=23.6,1,1,0%,23.598/23.598/23.598/0.000
-,-,-,-,-,-,-
15-02-2023-10-38-43,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=30.8,1,1,0%,30.838/30.838/30.838/0.000
15-02-2023-10-38-44,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=28.2,1,1,0%,28.245/28.245/28.245/0.000
15-02-2023-10-38-45,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=27.1,1,1,0%,27.094/27.094/27.094/0.000
15-02-2023-10-38-46,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=24.7,1,1,0%,24.735/24.735/24.735/0.000
15-02-2023-10-38-47,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=30.8,1,1,0%,30.763/30.763/30.763/0.000
15-02-2023-10-38-48,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=25.9,1,1,0%,25.874/25.874/25.874/0.000
15-02-2023-10-38-50,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=30.0,1,1,0%,30.034/30.034/30.034/0.000
15-02-2023-10-38-51,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=28.0,1,1,0%,28.008/28.008/28.008/0.000
15-02-2023-10-38-52,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=28.6,1,1,0%,28.638/28.638/28.638/0.000
15-02-2023-10-38-53,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=27.6,1,1,0%,27.644/27.644/27.644/0.000
15-02-2023-10-38-54,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=32.7,1,1,0%,32.662/32.662/32.662/0.000
15-02-2023-10-38-55,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=30.5,1,1,0%,30.453/30.453/30.453/0.000
15-02-2023-10-38-56,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=31.9,1,1,0%,31.869/31.869/31.869/0.000
15-02-2023-10-38-57,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=31.1,1,1,0%,31.089/31.089/31.089/0.000
15-02-2023-10-38-58,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=31.6,1,1,0%,31.635/31.635/31.635/0.000
15-02-2023-10-38-59,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=49.2,1,1,0%,49.181/49.181/49.181/0.000
15-02-2023-10-39-00,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=33.5,1,1,0%,33.488/33.488/33.488/0.000
15-02-2023-10-39-01,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=32.6,1,1,0%,32.601/32.601/32.601/0.000
15-02-2023-10-39-02,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=25.7,1,1,0%,25.724/25.724/25.724/0.000
15-02-2023-10-39-03,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=29.7,1,1,0%,29.739/29.739/29.739/0.000
15-02-2023-10-39-04,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=22.2,1,1,0%,22.165/22.165/22.165/0.000
15-02-2023-10-39-05,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=27.7,1,1,0%,27.654/27.654/27.654/0.000
15-02-2023-10-39-06,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=25.0,1,1,0%,25.021/25.021/25.021/0.000
15-02-2023-10-39-07,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=60.7,1,1,0%,60.719/60.719/60.719/0.000
15-02-2023-10-39-09,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=25.8,1,1,0%,25.751/25.751/25.751/0.000
15-02-2023-10-39-10,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=36.9,1,1,0%,36.920/36.920/36.920/0.000
15-02-2023-10-39-11,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=30.8,1,1,0%,30.846/30.846/30.846/0.000
